SpaceCharge,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
0,-0.55000067
6.5833343e-5,-0.55000067
4.9066643e+9,-0.54819423
1.7811736e+10,-0.54594755
4.5708477e+10,-0.54370081
1.130636e+11,-0.54145414
3.117697e+11,-0.53920746
1.0263472e+12,-0.53696072
4.0159967e+12,-0.53471404
1.7275557e+13,-0.53246737
7.2528961e+13,-0.53022063
7.2639101e+14,-0.52572727
2.0429311e+15,-0.52123386
4.594729e+14,-0.51224715
4.5946689e+14,-0.51224709
9.8564509e+13,-0.50775367
2.2114998e+13,-0.50326025
1.1500713e+13,-0.50101358
6.5244635e+12,-0.4987669
4.0318887e+12,-0.49652019
2.7013545e+12,-0.49427348
1.9423192e+12,-0.49202681
1.4852813e+12,-0.4897801
1.1947288e+12,-0.48753339
1.0004498e+12,-0.48528671
8.6386428e+11,-0.48304
7.6323505e+11,-0.4807933
6.8562448e+11,-0.47854662
6.2327223e+11,-0.47629991
5.7131598e+11,-0.4740532
5.267239e+11,-0.47180653
4.8755107e+11,-0.46955982
4.5254601e+11,-0.46731311
4.2091148e+11,-0.46506643
3.9211214e+11,-0.46281973
3.6584469e+11,-0.46057302
3.4191984e+11,-0.45832634
3.2036869e+11,-0.45607963
3.0144872e+11,-0.45383292
2.8609835e+11,-0.45158625
2.7653537e+11,-0.44933954
2.7589889e+11,-0.44709283
2.8386614e+11,-0.44484615
2.9709954e+11,-0.44259945
3.1337986e+11,-0.44035274
3.3179032e+11,-0.43810606
3.5198052e+11,-0.43585935
3.7383115e+11,-0.43361264
3.9732496e+11,-0.43136597
4.2249671e+11,-0.42911926
4.4941132e+11,-0.42687255
4.7815293e+11,-0.42462587
5.0882137e+11,-0.42237917
5.41528e+11,-0.42013246
5.7639574e+11,-0.41788578
6.1355761e+11,-0.41563907
6.5315752e+11,-0.41339236
6.9534954e+11,-0.41114569
7.4029914e+11,-0.40889898
7.8818281e+11,-0.40665227
8.391894e+11,-0.40440559
8.9352016e+11,-0.40215889
9.5138995e+11,-0.39991218
1.0130277e+12,-0.3976655
1.0786775e+12,-0.39541879
1.1485996e+12,-0.39317209
1.223071e+12,-0.39092541
1.3023871e+12,-0.3886787
1.3868625e+12,-0.38643199
1.4768324e+12,-0.38418531
1.5726539e+12,-0.38193861
1.6747078e+12,-0.3796919
1.7833983e+12,-0.37744522
1.8991573e+12,-0.37519851
2.022445e+12,-0.37295181
2.153751e+12,-0.37070513
2.2935973e+12,-0.36845842
2.4425387e+12,-0.36621171
2.6011668e+12,-0.36396503
2.7701134e+12,-0.36171833
2.9500501e+12,-0.35947162
3.141691e+12,-0.35722494
3.3457981e+12,-0.35497823
3.7947151e+12,-0.35048488
3.7947167e+12,-0.35048485
4.3039489e+12,-0.34599146
4.3039508e+12,-0.34599143
4.8816149e+12,-0.34149808
4.881617e+12,-0.34149805
6.2803156e+12,-0.33251128
6.2803208e+12,-0.33251125
8.0804157e+12,-0.3235245
8.0804224e+12,-0.32352448
1.3379745e+13,-0.30555093
1.3379765e+13,-0.30555087
2.216397e+13,-0.28757736
2.2164002e+13,-0.2875773
6.0928248e+13,-0.25163028
6.0928391e+13,-0.25163013
1.6837579e+14,-0.21568312
1.6837619e+14,-0.21568298
4.7177602e+14,-0.17973594
4.7177713e+14,-0.17973581
1.3724346e+15,-0.14378878
1.3724379e+15,-0.14378865
2.4369504e+15,-0.12581514
2.4369542e+15,-0.12581506
4.5369755e+15,-0.10784156
4.5369831e+15,-0.10784149
9.2228696e+15,-0.089867972
9.2228862e+15,-0.089867905
1.4059673e+16,-0.080881156
1.405969e+16,-0.080881119
2.2940102e+16,-0.071894363
2.2940133e+16,-0.071894325
3.0545895e+16,-0.067400947
3.0545921e+16,-0.067400932
4.2200956e+16,-0.062907547
4.2200995e+16,-0.062907532
6.1348141e+16,-0.058414157
6.1348203e+16,-0.058414139
9.6027432e+16,-0.053920764
9.602754e+16,-0.053920746
1.254662e+17,-0.051674053
1.2546629e+17,-0.051674046
1.5693225e+17,-0.049999975
1.5693234e+17,-0.049999967
0,-0.049999967
0,-0.049427353
0,-0.049427349
0,-0.04718066
0,-0.047180653
0,-0.04493396
0,-0.044933952
0,-0.040440578
0,-0.040440559
0,-0.035947181
0,-0.035947163
0,-0.033700474
0,-0.033700466
0,-0.031453773
0,-0.031453766
0,-0.030000346
0,-0.03000034
0,-0.03000034
0,-0.029207073
0,-0.029207069
0,-0.026960382
0,-0.026960373
0,-0.024713684
0,-0.024713675
0,-0.022466986
0,-0.022466976
0,-0.017973598
0,-0.017973581
0,-0.013480203
0,-0.013480186
0,-0.0089868074
0,-0.0089867907
0,-0.0044934126
0,-0.0044933953
0,-0.0022467063
0,-0.0022466977
0,-8.5704386e-9
0,0
-1.2139359e+17,0
-1.2701865e+17,0.001579209
-1.2701867e+17,0.0015792151
-1.2952547e+17,0.003158424
-1.2952548e+17,0.0031584301
-1.2580196e+17,0.0063168481
-1.2580194e+17,0.0063168602
-1.1271423e+17,0.0094752777
-1.1271419e+17,0.0094752898
-9.4779958e+16,0.012633708
-9.4779895e+16,0.01263372
-7.1749575e+16,0.016711222
-7.1749496e+16,0.016711237
-5.3863544e+16,0.02078874
-5.3863483e+16,0.020788755
-4.2797641e+16,0.028943758
-4.2797602e+16,0.02894379
-7.372884e+16,0.039471854
-7.3728944e+16,0.039471895
-1.4676018e+17,0.04999996
-1.4676044e+17,0.050000001
-1.6278658e+17,0.06372638
-1.6278667e+17,0.063726433
-7.720681e+16,0.077452816
-7.7206497e+16,0.077452868
1.9104721e+16,0.093776375
1.9105087e+16,0.093776435
5.6149382e+16,0.10193819
5.6149523e+16,0.10193822
8.5484962e+16,0.11009997
8.5485074e+16,0.1101
1.1033414e+17,0.11980601
1.1033423e+17,0.11980605
1.1825747e+17,0.12465906
1.1825749e+17,0.12465908
1.2190931e+17,0.12951209
1.2190932e+17,0.1295121
1.1984213e+17,0.13436511
1.1984211e+17,0.13436513
1.1632158e+17,0.13679162
1.1632157e+17,0.13679163
1.1112498e+17,0.13921814
1.1112496e+17,0.13921815
1.0911347e+17,0.14
1.0911347e+17,0.14
1.0440165e+17,0.14164466
9.6444809e+16,0.14407116
9.6444776e+16,0.14407118
8.7626696e+16,0.14649767
8.7626661e+16,0.14649768
7.8365856e+16,0.14892419
7.8365821e+16,0.1489242
6.735281e+16,0.15180981
6.735277e+16,0.15180983
5.6861425e+16,0.15469545
5.6861388e+16,0.15469547
4.7292215e+16,0.15758108
4.7292182e+16,0.15758109
4.0130716e+16,0.15999998
4.0130692e+16,0.16
4.0130692e+16,0.16
3.8839621e+16,0.16046673
3.1625879e+16,0.16335234
3.1625854e+16,0.16335236
2.558895e+16,0.16623797
2.558893e+16,0.16623798
2.0624045e+16,0.1691236
2.0624028e+16,0.16912362
1.6593744e+16,0.17200923
1.6593731e+16,0.17200924
1.0944354e+16,0.17778049
1.0944336e+16,0.17778051
7.4184372e+15,0.18355176
7.4184258e+15,0.18355177
5.2595489e+15,0.18932302
5.259542e+15,0.18932304
3.9568985e+15,0.19509429
3.9568942e+15,0.1950943
3.0893456e+15,0.20195748
3.0893428e+15,0.20195751
2.6428254e+15,0.2088207
2.642824e+15,0.20882073
2.4322001e+15,0.21568391
2.4321994e+15,0.21568394
2.351144e+15,0.22254711
2.3511437e+15,0.22254714
2.3367365e+15,0.22941034
2.3367365e+15,0.22941037
2.3503578e+15,0.23627354
2.3503579e+15,0.23627357
2.3677274e+15,0.24313676
2.3677275e+15,0.24313679
2.3736836e+15,0.24999997
2.3736836e+15,0.25
2.3577265e+15,0.25707936
2.3577264e+15,0.25707939
2.3143338e+15,0.26415876
2.3143336e+15,0.26415879
2.2404822e+15,0.27123818
2.2404819e+15,0.27123821
2.1346878e+15,0.27831757
2.1346874e+15,0.2783176
1.817597e+15,0.29247633
1.8175958e+15,0.29247639
1.3862837e+15,0.30663514
1.386282e+15,0.3066352
6.7306594e+14,0.3266587
6.730632e+14,0.32665879
-7.7916791e+13,0.34668225
-7.7919674e+13,0.34668234
-7.151834e+14,0.36670583
-7.1518585e+14,0.36670592
-9.819279e+14,0.37671769
-9.8192893e+14,0.37671772
-1.1823187e+15,0.38672948
-1.1823194e+15,0.38672951
-1.3510188e+15,0.40088826
-1.3510194e+15,0.40088832
-1.4225663e+15,0.41504708
-1.4225666e+15,0.41504714
-1.4191362e+15,0.42920586
-1.4191361e+15,0.42920592
-1.3631459e+15,0.44336468
-1.3631456e+15,0.44336474
-1.2744736e+15,0.45752349
-1.2744732e+15,0.45752355
-1.16901e+15,0.47168231
-1.1690096e+15,0.47168237
-1.0583456e+15,0.48584113
-1.0583452e+15,0.48584118
-9.5010738e+14,0.49999994
-9.5010696e+14,0.5
-8.5581463e+14,0.51315784
-8.5581426e+14,0.5131579
-7.6918607e+14,0.52631575
-7.6918573e+14,0.52631581
-6.9082429e+14,0.53947365
-6.9082399e+14,0.53947371
-6.2052747e+14,0.55263156
-6.2052719e+14,0.55263162
-5.5777329e+14,0.56578946
-5.5777305e+14,0.56578952
-5.0236212e+14,0.57894737
-5.023619e+14,0.57894742
-4.0907584e+14,0.60526305
-4.0907547e+14,0.60526317
-3.0270223e+14,0.64473671
-3.0270182e+14,0.64473689
-2.237092e+14,0.68421036
-2.2370889e+14,0.68421054
-1.6295324e+14,0.72368407
-1.62953e+14,0.72368425
-1.1493535e+14,0.76315773
-1.1493516e+14,0.7631579
-6.001306e+13,0.8223682
-6.0012848e+13,0.82236844
-1.9249952e+13,0.88157868
-1.9249797e+13,0.88157892
1.1417319e+13,0.94078922
1.1417435e+13,0.94078946
3.4603004e+13,0.99999976
3.4603091e+13,1
5.2927732e+13,1.0624998
5.29278e+13,1.0625
6.6464418e+13,1.1249998
6.6464468e+13,1.125
7.6331523e+13,1.1874998
7.633156e+13,1.1875
8.3336552e+13,1.2499998
8.3336579e+13,1.25
8.8006058e+13,1.3124998
8.800608e+13,1.3125
9.051037e+13,1.3749998
9.0510371e+13,1.375
9.308565e+13,1.4999998
9.3085656e+13,1.5
8.9259749e+13,1.7499995
8.9259745e+13,1.75
8.0108518e+13,1.9999995
8.0108506e+13,2
6.8702689e+13,2.2499995
6.8702673e+13,2.25
5.6755155e+13,2.4999995
5.6755139e+13,2.5
4.5395789e+13,2.7499995
4.5395774e+13,2.75
3.5352964e+13,2.9999995
3.5352952e+13,3
2.6989899e+13,3.2499995
2.6989889e+13,3.25
2.0359282e+13,3.4999995
2.0359274e+13,3.5
1.5299453e+13,3.7499995
1.5299447e+13,3.75
1.1541328e+13,3.9999995
1.1541323e+13,4
8.7941004e+12,4.2499995
8.794097e+12,4.25
6.7968568e+12,4.4999995
6.7968542e+12,4.5
5.3397903e+12,4.7499995
5.3397884e+12,4.75
4.2657127e+12,4.9999995
4.2657112e+12,5
3.4620937e+12,5.2499995
3.4620926e+12,5.25
2.8504958e+12,5.4999995
2.8504949e+12,5.5
2.3768868e+12,5.7499995
2.3768861e+12,5.75
2.0040489e+12,5.9999995
2.0040483e+12,6
1.7061235e+12,6.2499995
1.706123e+12,6.25
1.4648829e+12,6.4999995
1.4648825e+12,6.5
1.2672536e+12,6.7499995
1.2672532e+12,6.75
1.1036832e+12,6.9999995
1.103683e+12,7
9.6706871e+11,7.2499995
9.6706849e+11,7.25
8.5204179e+11,7.4999995
8.5204159e+11,7.5
7.5448406e+11,7.7499995
7.5448389e+11,7.75
6.7119556e+11,7.9999995
6.7119542e+11,8
5.9966025e+11,8.25
5.3788044e+11,8.5
4.8425428e+11,8.75
4.3748743e+11,9
3.9652484e+11,9.25
3.6050147e+11,9.5
3.2870275e+11,9.75
3.0053517e+11,10
2.7550278e+11,10.25
2.531902e+11,10.5
2.3324462e+11,10.75
2.1536848e+11,11
1.9930779e+11,11.25
1.8484533e+11,11.5
1.7179464e+11,11.75
1.59995e+11,12
1.4930733e+11,12.25
1.3961099e+11,12.5
1.3080094e+11,12.75
1.2278543e+11,13
1.1548408e+11,13.25
1.0882643e+11,13.5
1.027504e+11,13.75
9.7201143e+10,14
9.2130274e+10,14.25
8.749486e+10,14.5
8.3256845e+10,14.75
7.9382371e+10,15
7.5841383e+10,15.25
7.2606928e+10,15.5
6.9655105e+10,15.75
6.6964616e+10,16
6.4516408e+10,16.25
6.2293486e+10,16.5
6.0280634e+10,16.75
5.8464446e+10,17
5.6832945e+10,17.25
5.5375627e+10,17.5
5.4083113e+10,17.75
5.2947058e+10,18
5.1960495e+10,18.25
5.1117306e+10,18.5
5.0412387e+10,18.75
4.9841249e+10,19
4.9400634e+10,19.25
4.9087777e+10,19.5
4.8900843e+10,19.75
4.8838566e+10,20

